ORF Localization
YLR143W cytosol
YLR244C cytosol
YGL119W mitochondria
YAL054C nucleus
YGL234W below_threshold
YMR009W cytosol
YKR074W nucleus:cytosol
YGL021W cytosol
YBL009W below_threshold
YBR151W cytosol
YGL017W below_threshold
YLL042C below_threshold
YGR224W below_threshold
YJR148W below_threshold
YCR063W nucleus
YNL161W cytosol:bud_neck
YDR182W below_threshold
YBR109C below_threshold
YML110C mitochondria
YMR048W nucleus
YBR112C nucleus
YJL005W cytosol
YDR052C nucleus:cytosol
YDR411C below_threshold
YER179W below_threshold
YGL222C below_threshold
YGL231C ER
YLR206W below_threshold
YGL001C below_threshold
YMR134W ER
YBR102C bud_neck
YJL157C nucleus
YBL013W mitochondria
YNR047W cytosol
YLL029W cytosol
YNR060W below_threshold
YNL133C nucleus
YOR178C below_threshold
YER027C below_threshold
YOR205C mitochondria
YOR164C below_threshold
YMR255W cytosol
YLR094C below_threshold
YHR005C cell_periphery
YMR281W below_threshold
YJR013W ER
YPL223C cytosol
YOL151W below_threshold
YNL021W nucleus
YER062C cytosol
YOL133W cytosol
YCR021C cell_periphery
YHR187W cytosol
YJL106W below_threshold
YNL075W below_threshold
YFR013W nucleus
YMR073C cytosol
YJL142C below_threshold
YOR171C cytosol
YAL024C bud:cytosol
YDR034C nucleus
YCR040W below_threshold
YDL056W below_threshold
YOR147W mitochondria
YJL102W mitochondria
YLR332W punctate
YER028C nucleus
YMR167W punctate
YGL087C cytosol
YMR177W mitochondria
YKL064W below_threshold
YDL247W below_threshold
YDL028C cytosol
YJL063C mitochondria
YML117W cytosol
YIL164C below_threshold
YLR195C below_threshold
YGR043C nucleus
YDR360W below_threshold
YPR075C cytosol
YOR130C mitochondria
YFL044C nucleus
YIR041W below_threshold
YOR394W below_threshold
YHR215W below_threshold
YNR013C ER
YBL018C nucleus
YPL148C below_threshold
YDL043C below_threshold
YNR011C nucleus
YER099C below_threshold
YGR280C below_threshold
YBR043C cell_periphery
YER171W nucleus
YGL058W below_threshold
YDR014W nucleus
YBR087W nucleus
YOR279C nucleus
YEL050C nucleus:cytosol
YMR061W below_threshold
YPR102C cytosol
YIL133C cytosol
YFL034C-A cytosol
YIL052C punctate
YDL191W cytosol
YGL147C cytosol
YFR004W nucleus
YDR175C mitochondria
YOR216C below_threshold
YPR181C below_threshold
YHR207C below_threshold
YOR073W punctate
YLR187W bud:cytosol
YDR489W cytosol
YBR077C vacuole_membrane
YPR101W below_threshold
YOR357C vacuole_membrane
YCR073W-A cytosol
YCL054W below_threshold
YLL005C below_threshold
YHR184W below_threshold
YDR160W below_threshold
YKL072W cytosol
YOR219C below_threshold
YJL176C nucleus
YGL232W nucleus
YOR337W nucleus
YLR010C below_threshold
YDR460W nucleus
YER113C punctate
YER175C cytosol
YNL079C below_threshold
YHR106W mitochondria
YOR295W nucleolus
YDR207C nucleus
YDR520C nucleus
YBL004W below_threshold
YJR126C below_threshold
YLR337C punctate
YBR284W below_threshold
YBR292C below_threshold
YDL094C below_threshold
YDL218W below_threshold
YDR307W ER
YDR338C below_threshold
YEL057C below_threshold
YER087C-A ER
YER134C cytosol
YFL013W-A below_threshold
YFL064C below_threshold
YFR017C cytosol
YGL081W mitochondria
YGR125W cytosol
YGR250C cytosol
YKL187C below_threshold
YKR075C below_threshold
YLR050C ER
YLR108C below_threshold
YLR312C below_threshold
YLR345W below_threshold
YLR352W below_threshold
YLR402W below_threshold
YML002W below_threshold
YML100W-A below_threshold
YMR279C below_threshold
YNL311C cytosol
