ORF	Correlation
YDR320C-A	0.31411
YBR248C	0.36818
YNL158W	0.30426
YGL100W	0.37196
YKL146W	0.27833
YGL209W	0.31113
YKR025W	0.34581
YGL171W	0.36483
YGR106C	0.41898
YDR512C	0.64563
YDL124W	0.40552
YER029C	0.34891
YBR110W	0.2974
YJL148W	0.42295
YOR362C	0.40776
YLR193C	0.32233
YDL198C	0.36426
YBL068W	0.371
YMR038C	0.43641
YOR159C	0.35701
YOR236W	0.35953
YBR278W	0.34669
YPL053C	0.33078
YKL003C	0.31489
YGL058W	0.39573
YJR063W	0.36382
YJL041W	0.40252
YLR287C	0.37929
YPL211W	0.39101
YHR064C	0.46749
YDL150W	0.315
YIR036C	0.32996
YLR028C	0.38529
YKL137W	0.37879
YBR046C	0.34038
YBL004W	0.33177
YIR038C	0.34374
YJR058C	0.31268
YDR432W	0.46415
YMR244C-A	0.36358
YKL183W	0.33217
YJL117W	0.39388
YLR183C	0.30749
YKL192C	0.40292
YKL041W	0.32906
YPL043W	0.38848
YPL265W	0.41695
YER019W	0.357
YNL160W	0.39061
YCR002C	0.37251
YOR065W	0.35504
YHR039C	0.34064
YJR109C	0.36963
YIL016W	0.31242
YDR175C	0.32534
YNL122C	0.47796
YLR178C	0.27392
YGR202C	0.35848
YEL065W	0.37537
YGR162W	0.41241
YMR278W	0.34727
YHR009C	0.32998
YNL007C	0.45087
YOR220W	0.3532
YFR050C	0.40187
YDR502C	0.46133
YKL141W	0.4259
YDL178W	0.38072
YEL009C	0.3255
YDL122W	0.33726
YPL212C	0.38739
YKL209C	0.35124
YGL186C	0.34349
YPL266W	0.36902
YNL308C	0.40212
YPR037C	0.30838
YDR513W	0.39457
YNL310C	0.33765
YOR158W	0.37385
YNL292W	0.3411
YIL063C	0.38144
YKR006C	0.34644
YNL243W	0.38182
YML105C	0.34529
YGL232W	0.40266
YOL049W	0.34246
YPR063C	0.52283
YOR153W	0.42636
YER136W	0.39971
YDR266C	0.32644
YBR243C	0.31619
YGR161C	0.27619
YNR029C	0.30027
YEL024W	0.36818
YHR089C	0.40547
YIL116W	0.37022
