ORF	EL	corr	cons90
YDR320C-A	3.846	0.31411	0.05636
YBR248C	3.072	0.36818	0.06096
YNL158W	1.092	0.30426	0.05823
YGL100W	2.375	0.37196	0.08402
YKL146W	1.281	0.27833	0.05631
YGL209W	1.035	0.31113	0.06783
YKR025W	2.889	0.34581	0.08189
YGL171W	2.059	0.36483000000000004	0.07503
YGR106C	12.072000000000001	0.41898	0.09224
YDR512C	1.681	0.64563	0.12057
YDL124W	5.768	0.40552	0.09887
YER029C	1.72	0.34891	0.06595
YBR110W	1.032	0.2974	0.04277
YJL148W	6.303999999999999	0.42295	0.08598
YOR362C	7.354	0.40776	0.08144
YLR193C	1.433	0.32233	0.05859
YDL198C	2.736	0.36426	0.06766
YBL068W	2.676	0.371	0.07636
YMR038C	10.0	0.43641	0.09472
YOR159C	3.155	0.35701	0.07179
YOR236W	1.5590000000000002	0.35953	0.06777
YBR278W	1.75	0.34669	0.07274
YPL053C	2.17	0.33078	0.07086
YKL003C	1.994	0.31489	0.06573
YGL058W	4.887	0.39573	0.07643
YJR063W	7.432	0.36382	0.09537
YJL041W	4.5	0.40252	0.10905
YLR287C	1.909	0.37929	0.07662
YPL211W	8.071	0.39100999999999997	0.07358
YHR064C	37.967	0.46748999999999996	0.11532
YDL150W	2.844	0.315	0.07962
YIR036C	3.25	0.32996	0.10016
YLR028C	4.213	0.38529	0.07109
YKL137W	3.0580000000000003	0.37879	0.08651
YBR046C	1.9869999999999999	0.34038	0.05361
YBL004W	1.1420000000000001	0.33177	0.05763
YIR038C	2.003	0.34374	0.05555
YJR058C	1.3359999999999999	0.31268	0.04699
YDR432W	42.117	0.46415	0.16791
YMR244C-A	4.872	0.36358	0.0776
YKL183W	1.11	0.33216999999999997	0.06634
YJL117W	6.962000000000001	0.39388	0.09441
YLR183C	1.1740000000000002	0.30749	0.06065
YKL192C	17.658	0.40292	0.06589
YKL041W	1.869	0.32905999999999996	0.06672
YPL043W	4.797	0.38848	0.07726
YPL265W	5.365	0.41695	0.09528
YER019W	1.057	0.35700000000000004	0.07354
YNL160W	3.687	0.39061	0.0913
YCR002C	4.119	0.37251	0.05895
YOR065W	1.7519999999999998	0.35504	0.07407
YHR039C	1.9980000000000002	0.34064	0.06001
YJR109C	2.55	0.36963	0.07012
YIL016W	2.4619999999999997	0.31242	0.07587
YDR175C	1.442	0.32534	0.06957
YNL122C	1.669	0.47796000000000005	0.10003
YLR178C	1.2009999999999998	0.27392	0.03986
YGR202C	1.3530000000000002	0.35848	0.06961
YEL065W	3.6460000000000004	0.37537	0.06468
YGR162W	10.48	0.41241000000000005	0.08209
YMR278W	1.052	0.34726999999999997	0.08044
YHR009C	1.526	0.32998	0.06358
YNL007C	20.017	0.45087	0.11576
YOR220W	2.12	0.3532	0.06747
YFR050C	7.686	0.40187	0.07685
YDR502C	11.27	0.46133	0.1223
YKL141W	4.695	0.4259	0.09452
YDL178W	1.57	0.38072	0.06398
YEL009C	1.6119999999999999	0.3255	0.05542
YDL122W	1.168	0.33726	0.08456
YPL212C	2.6289999999999996	0.38739	0.084
