ORF	p_5	p_10	p_20	p_80	p_90	p_95	p3_5	p3_10	p3_20	p3_80	p3_90	p3_95
YDR320C-A	0.0	0.0	0.0	0.01931	0.02764	0.03506	8e-05	0.00172	0.00366	0.01784	0.02374	0.02868
YBR248C	0.0	0.0	0.00373	0.02377	0.03334	0.04287	0.00223	0.00359	0.00603	0.02211	0.02859	0.03469
YNL158W	0.0	0.0	0.00417	0.02729	0.03728	0.04733	0.00267	0.0045	0.00726	0.02511	0.03214	0.03839
YGL100W	0.0	0.0	0.00494	0.02885	0.03925	0.04969	0.00313	0.00504	0.00796	0.02664	0.03369	0.04037
YKL146W	0.0	0.0	0.0	0.01459	0.02095	0.02768	0.00081	0.00135	0.00271	0.01341	0.01792	0.02244
YGL209W	0.0	0.00286	0.00636	0.0345	0.04663	0.05822	0.0045	0.00673	0.0102	0.03188	0.04031	0.04782
YKR025W	0.0	0.0	0.00527	0.03092	0.04228	0.05287	0.00344	0.00564	0.00884	0.02853	0.03618	0.04358
YGL171W	0.0	0.0	0.0044	0.02768	0.0381	0.04801	0.00304	0.00479	0.00749	0.02552	0.03271	0.03924
YGR106C	0.0	0.0	0.00538	0.03186	0.04273	0.05343	0.00372	0.00586	0.00907	0.02919	0.03689	0.04383
YDR512C	0.0	0.0	0.00177	0.01985	0.02829	0.03718	0.00121	0.00252	0.00431	0.01863	0.02466	0.03029
YDL124W	0.0	0.0	0.00493	0.02831	0.03866	0.04891	0.00309	0.00495	0.00777	0.02622	0.03326	0.03985
YER029C	0.0	0.00166	0.00605	0.03377	0.04544	0.05686	0.00395	0.00649	0.01009	0.0313	0.03894	0.04676
YBR110W	0.0	0.0	0.00155	0.01779	0.02628	0.03353	0.0011	0.00223	0.00395	0.01672	0.02199	0.02688
YJL148W	0.0	0.0	0.00515	0.03047	0.04107	0.05205	0.00322	0.00534	0.00841	0.02787	0.03532	0.0424
YOR362C	0.0	0.0	0.00362	0.02391	0.03342	0.04246	0.00203	0.00358	0.00605	0.02218	0.02864	0.0346
YLR193C	0.0	0.0	0.00406	0.02673	0.03611	0.04586	0.00231	0.00415	0.00699	0.02428	0.03088	0.03745
