ORF	EL	MM
YDR320C-A	3.846	0.049
YBR248C	3.072	0.073
YBR148W	0.049	0.1
YNL158W	1.092	0.057
YGL100W	2.375	0.088
YGL136C	0.167	0.09
YKL146W	1.281	0.087
YPL139C	0.935	0.067
YGL209W	1.035	0.073
YKR025W	2.889	0.102
YML121W	0.932	0.08
YGL171W	2.059	0.078
YLR154C-G	0.001	0.451
YGR106C	12.072	0.106
YER053C	0.405	0.079
YDR512C	1.681	0.134
YDL124W	5.768	0.079
YIL155C	0.458	0.083
YER029C	1.72	0.104
YBR110W	1.032	0.075
YOL103W-B	0.068	0.11
YHR119W	0.326	0.096
YOR182C	121.63	0.903
YJL148W	6.304	0.113
YNL065W	0.713	0.066
YOR362C	7.354	0.088
YLR193C	1.433	0.063
YDL198C	2.736	0.101
YOR081C	0.449	0.091
YBL068W	2.676	0.1
YNL033W	0.002	0.316
YMR038C	10.0	0.092
YOR159C	3.155	0.098
YOR236W	1.559	0.083
YNL257C	0.245	0.082
YNL201C	0.616	0.076
YDL243C	0.003	0.176
YFL053W	0.004	0.071
YCR098C	0.029	0.071
YER185W	0.018	0.067
YMR289W	0.797	0.067
YBR278W	1.75	0.086
YDR194W-A	0.004	0.055
YMR100W	0.369	0.077
YDR088C	0.616	0.095
YOL108C	0.787	0.091
YLR373C	0.475	0.083
YPL053C	2.17	0.083
YFR016C	0.933	0.156
YKL003C	1.994	0.068
YPL113C	0.22	0.086
YCL042W	5.078	0.382
YOL054W	0.561	0.085
YGL058W	4.887	0.127
YJL042W	0.641	0.08
YGL259W	0.002	0.277
YMR181C	0.455	0.08
YBL029W	0.18	0.088
YJR063W	7.432	0.07
YPL143W	380.119	0.698
YJL041W	4.5	0.272
YLR305C	0.637	0.082
YLR287C	1.909	0.069
YIL003W	0.788	0.066
YPL038W	0.853	0.091
YDR270W	0.671	0.08
YGR222W	0.391	0.082
YKL218C	0.408	0.078
YNL041C	0.659	0.083
YHR195W	0.426	0.089
YLR381W	0.111	0.067
YJR095W	0.009	0.068
YPL211W	8.071	0.11
YHR064C	37.967	0.136
YHL019C	0.39	0.085
YDL150W	2.844	0.088
YIR036C	3.25	0.091
YLR028C	4.213	0.083
YNL140C	1.362	0.843
YOR244W	0.587	0.107
YKL137W	3.058	0.145
YBR046C	1.987	0.087
YDL170W	0.283	0.063
YOR255W	0.001	0.077
YHR186C	0.355	0.089
YBL004W	1.142	0.087
YOR304W	0.581	0.086
YBR201C-A	0.318	0.047
YDR376W	0.579	0.079
YHR092C	0.582	0.364
YIR038C	2.003	0.083
YMR156C	0.303	0.052
YJR058C	1.336	0.094
YDR432W	42.117	0.223
YIL128W	0.718	0.087
YNL014W	0.028	0.126
YMR244C-A	4.872	0.107
YHR174W	553.329	0.961
YFR019W	0.216	0.083
YKL183W	1.11	0.085
YBL009W	0.732	0.068
YJL117W	6.962	0.101
YHL009C	0.936	0.107
YDR506C	0.267	0.064
YHL009W-A	0.0	0.336
YLR183C	1.174	0.083
YKL192C	17.658	0.091
YDR243C	0.437	0.073
YKL041W	1.869	0.072
YEL006W	0.566	0.064
YOL018C	0.843	0.067
YOL112W	0.205	0.082
YBR123C	0.789	0.095
YIL090W	0.788	0.092
YPL043W	4.797	0.107
YJL201W	0.593	0.089
YPL265W	5.365	0.114
YJR097W	0.916	0.048
YNL049C	0.896	0.075
YCL026C-B	0.792	0.065
YER019W	1.057	0.073
YDL159W	0.662	0.078
YPL242C	0.384	0.083
YDR003W	0.92	0.1
YNL160W	3.687	0.089
YCR002C	4.119	0.077
YOR065W	1.752	0.101
YGR113W	0.807	0.098
YLR024C	0.147	0.092
YHR039C	1.998	0.065
YOR289W	0.233	0.065
YJR109C	2.55	0.083
YLL032C	0.37	0.074
YLR377C	0.004	0.074
YIL016W	2.462	0.078
YDR175C	1.442	0.079
YDR268W	0.524	0.07
YNL122C	1.669	0.062
YOR278W	0.694	0.05
YIL101C	0.071	0.081
YNL127W	0.294	0.07
YLR178C	1.201	0.077
YML020W	0.216	0.095
YGR202C	1.353	0.086
YIL089W	0.109	0.062
YIL165C	0.01	0.096
YEL065W	3.646	0.067
YMR059W	0.787	0.109
YMR199W	0.855	0.079
YGR162W	10.48	0.131
YHR173C	0.007	0.119
YNL039W	0.828	0.076
YMR278W	1.052	0.073
YOR028C	0.455	0.069
YGL018C	0.898	0.065
YHR009C	1.526	0.075
YNL007C	20.017	0.134
YER175W-A	0.023	0.036
YGL257C	0.416	0.087
YDL209C	0.476	0.072
YOR220W	2.12	0.057
YFR050C	7.686	0.075
YOR296W	0.169	0.074
YLL063C	0.151	0.08
YDR502C	11.27	0.235
YKL141W	4.695	0.091
YDL178W	1.57	0.076
YEL009C	1.612	0.077
YLR309C	0.853	0.117
YGR295C	1.088	0.847
YLR148W	0.583	0.084
YJR062C	0.517	0.081
YPL041C	0.327	0.061
YBR085W	0.761	0.101
YMR273C	0.387	0.09
YDL122W	1.168	0.082
YPL212C	2.629	0.076
YKL209C	1.517	0.09
YNR011C	0.394	0.082
YKL129C	0.62	0.092
YGL186C	1.774	0.067
YPL266W	3.97	0.089
YNL308C	3.622	0.122
YCR041W	0.005	0.253
YBR072C-A	0.016	0.079
YPR037C	3.049	0.056
YDR513W	11.069	0.202
YDR224C	64.456	0.523
YNL310C	2.295	0.102
YOR158W	1.384	0.083
YNL292W	1.706	0.077
YIL063C	2.77	0.09
YLR346C	0.695	0.054
YKR006C	2.046	0.086
YER015W	0.075	0.094
YDL044C	0.369	0.061
YNL243W	3.356	0.078
YML105C	4.366	0.091
YGL232W	2.704	0.091
YOL049W	2.616	0.069
YLR145W	0.511	0.075
YDL013W	0.369	0.076
YGL248W	0.5	0.102
YJL116C	0.122	0.084
YPR006C	0.211	0.075
YIL173W	0.001	0.666
YGR010W	0.769	0.104
YDR049W	0.845	0.094
YGR257C	0.377	0.046
YPR063C	11.335	0.135
YPL056C	0.002	0.123
YOR153W	12.213	0.13
YGL139W	0.939	0.062
YER136W	6.043	0.092
YBR090C	0.009	0.474
YBL067C	0.503	0.087
YGR227W	0.917	0.084
YDR266C	1.553	0.087
YGR058W	0.638	0.103
YBR243C	1.281	0.083
YDR034W-B	0.28	0.081
YDL007C-A	0.001	0.059
YGR161C	1.282	0.098
YNR029C	1.016	0.074
YMR137C	0.124	0.075
YOR011W	0.104	0.078
YEL024W	2.579	0.071
YHR089C	15.392	0.171
YIL116W	2.872	0.068
YOR098C	1.49	0.097
YJL197W	0.684	0.078
YIL055C	0.137	0.075
YFL064C	0.001	0.227
YML046W	0.531	0.074
YFR032C	0.024	0.06
YNL123W	2.108	0.084
YER010C	1.116	0.086
YKL143W	2.436	0.096
YHR016C	1.178	0.084
YDL060W	1.7	0.084
YNL286W	0.564	0.084
YMR021C	0.513	0.077
YDR188W	13.717	0.091
YML061C	0.348	0.068
YGL006W-A	0.069	0.109
YOR370C	1.465	0.086
YKR036C	0.274	0.076
YMR148W	0.648	0.09
YDR412W	6.939	0.095
YMR003W	0.545	0.09
YJR140C	0.275	0.076
YGL027C	2.18	0.078
YNL167C	0.56	0.085
YBR237W	0.17	0.084
YLR392C	0.189	0.083
YGR128C	2.107	0.099
YNL223W	0.2	0.082
YDR335W	1.014	0.08
YKL021C	1.815	0.073
YDR507C	1.439	0.096
YML081W	0.325	0.081
YNL250W	0.185	0.074
YBR065C	0.545	0.111
YOR249C	0.205	0.082
YJR139C	25.532	0.146
YBL074C	0.433	0.077
YBR039W	7.571	0.079
YHR141C	57.416	0.979
YER149C	1.158	0.095
YNL312W	4.093	0.105
YJR034W	1.971	0.06
YHL042W	0.065	0.097
YHR185C	0.012	0.076
YKR059W	6.087	0.99
YOL119C	0.802	0.082
YHR040W	0.662	0.08
YMR244W	0.01	0.064
YMR092C	4.184	0.072
YJL185C	0.162	0.064
YLL056C	0.024	0.079
YBR182C-A	0.014	0.07
YIL047C	0.782	0.083
YHR166C	0.296	0.085
YAL054C	0.028	0.083
YPL097W	0.352	0.065
YGL123W	327.546	0.335
YIL111W	1.86	0.092
YJL008C	8.545	0.093
YLR378C	16.458	0.09
YER004W	4.105	0.083
YFR002W	1.407	0.098
YPR004C	2.903	0.08
YNL031C	57.723	0.709
YCR026C	0.611	0.073
YNL130C-A	0.008	0.062
YKL001C	1.741	0.073
YJL171C	4.816	0.088
YJL189W	750.865	0.597
YKR105C	0.001	0.128
YOL120C	119.234	0.887
YGL151W	0.557	0.088
YPL100W	0.6	0.073
YMR294W	0.282	0.091
YOL096C	0.734	0.057
YGR289C	0.009	0.082
YNL214W	0.584	0.1
YMR221C	1.424	0.071
YNL101W	0.437	0.084
YGR238C	0.138	0.084
YKL108W	0.351	0.084
YLR327C	1.824	0.073
YJR115W	0.051	0.127
YHR068W	14.909	0.119
YDL099W	2.461	0.101
YPR036W	13.826	0.105
YMR131C	5.488	0.077
YMR073C	0.969	0.072
YAR029W	0.035	0.084
YIR012W	5.035	0.098
YBR158W	1.661	0.08
YGL153W	2.253	0.061
YPR055W	0.456	0.075
YGR266W	1.044	0.072
YGL108C	1.651	0.076
YMR081C	0.018	0.063
YLR245C	1.021	0.077
YOR211C	0.611	0.088
YFR001W	3.418	0.112
YFR008W	0.536	0.109
YDR261C-D	0.002	0.106
YIL149C	0.357	0.106
YGR154C	0.013	0.078
YGL188C-A	0.435	0.06
YHL004W	1.602	0.072
YEL062W	0.222	0.082
YBL033C	1.516	0.072
YBR299W	0.003	0.281
YNR054C	2.312	0.089
YCL073C	0.0	0.231
YDL155W	0.781	0.07
YGR239C	0.37	0.069
YNL330C	1.679	0.093
YLR050C	2.056	0.061
YPL195W	1.056	0.098
YNL112W	12.298	0.171
YIL099W	0.009	0.065
YBR270C	0.045	0.058
YGR208W	3.591	0.07
YCL052C	0.624	0.073
YPR106W	0.669	0.078
YBR028C	0.686	0.088
YHR126C	0.003	0.11
YDL007W	7.247	0.09
YDL115C	0.84	0.081
YJL208C	1.197	0.065
YKL222C	0.036	0.09
YOR388C	0.001	0.067
YPL134C	0.394	0.069
YNL074C	1.854	0.083
YPR122W	0.231	0.092
YGR156W	1.09	0.078
YAL059W	5.774	0.086
YDL202W	1.434	0.087
YNL006W	0.955	0.06
YGR004W	0.551	0.063
YDL142C	0.508	0.082
YPR023C	1.753	0.085
YLR442C	0.344	0.081
YOR299W	0.502	0.061
YGR215W	3.426	0.096
YGL070C	5.4	0.093
