ORF	Name	Length	Number	Peak	Start	End
YAL003W	EFB1	206	2	76	72	76
YAL003W	EFB1	206	2	183	178	185
YAL005C	SSA1	642	2	268	264	268
YAL005C	SSA1	642	2	627	624	629
YAL007C	ERP2	215	1	175	173	177
YAL012W	CYS3	394	4	87	81	95
YAL012W	CYS3	394	4	149	148	152
YAL012W	CYS3	394	4	329	322	330
YAL012W	CYS3	394	4	347	344	348
YAL013W	DEP1	405	1	349	348	352
YAL014C	SYN8	255	1	149	147	151
YAL016W	TPD3	635	1	221	217	222
YAL017W	PSK1	1356	1	654	653	657
YAL019W	FUN30	1131	1	131	129	133
YAL021C	CCR4	837	2	385	382	386
YAL021C	CCR4	837	2	568	565	570
YAL023C	PMT2	759	3	129	128	135
YAL023C	PMT2	759	3	432	427	435
YAL023C	PMT2	759	3	540	536	540
YAL025C	MAK16	306	1	72	71	75
YAL029C	MYO4	1471	1	61	59	64
YAL035W	FUN12	1002	3	116	113	121
YAL035W	FUN12	1002	3	597	594	599
YAL035W	FUN12	1002	3	943	938	945
YAL038W	CDC19	500	5	99	93	110
YAL038W	CDC19	500	5	214	209	217
YAL038W	CDC19	500	5	378	374	380
YAL038W	CDC19	500	5	389	384	392
YAL038W	CDC19	500	5	404	402	408
YAL039C	CYC3	269	1	240	239	243
YAL044C	GCV3	170	2	74	72	76
YAL044C	GCV3	170	2	101	99	103
YAR002W	NUP60	539	3	221	221	225
YAR002W	NUP60	539	3	352	349	353
YAR002W	NUP60	539	3	516	513	518
YAR007C	RFA1	621	1	266	262	269
YAR015W	ADE1	306	3	127	124	128
YAR015W	ADE1	306	3	161	161	166
YAR015W	ADE1	306	3	176	174	178
YAR018C	KIN3	435	1	288	286	290
YAR042W	SWH1	1188	1	250	250	254
YBL002W	HTB2	131	1	128	116	131
YBL003C	HTA2	132	1	128	124	129
YBL007C	SLA1	1244	2	162	156	162
YBL007C	SLA1	1244	2	1059	1055	1060
YBL016W	FUS3	353	2	267	264	268
YBL016W	FUS3	353	2	328	320	330
YBL024W	NCL1	684	1	670	669	679
YBL027W	RPL19B	189	1	109	107	112
YBL030C	PET9	318	2	103	95	105
YBL030C	PET9	318	2	141	138	142
YBL032W	HEK2	381	2	194	193	197
YBL032W	HEK2	381	2	251	248	253
YBL033C	RIB1	345	1	320	320	324
YBL039C	URA7	579	1	375	374	380
YBL041W	PRE7	241	1	146	143	150
YBL045C	COR1	457	1	294	290	296
YBL046W	PSY4	441	1	368	366	370
YBL047C	EDE1	1381	4	90	88	93
YBL047C	EDE1	1381	4	109	108	112
YBL047C	EDE1	1381	4	215	210	218
YBL047C	EDE1	1381	4	371	366	374
YBL051C	PIN4	668	2	556	553	557
YBL051C	PIN4	668	2	593	591	595
YBL057C	PTH2	208	1	127	122	127
YBL064C	PRX1	261	2	93	85	99
YBL064C	PRX1	261	2	230	230	235
YBL076C	ILS1	1072	5	184	183	188
YBL076C	ILS1	1072	5	325	323	327
YBL076C	ILS1	1072	5	408	407	411
YBL076C	ILS1	1072	5	450	449	453
YBL076C	ILS1	1072	5	770	768	773
YBL079W	NUP170	1502	2	472	467	472
YBL079W	NUP170	1502	2	753	749	753
YBL087C	RPL23A	137	1	114	112	118
YBL091C	MAP2	421	1	396	390	399
YBL092W	RPL32	130	1	91	88	94
YBL099W	ATP1	545	3	329	325	332
YBL099W	ATP1	545	3	411	410	414
YBL099W	ATP1	545	3	450	447	453
YBL101C	ECM21	1117	2	570	566	570
YBL101C	ECM21	1117	2	763	759	764
YBL105C	PKC1	1151	2	1043	1039	1043
YBL105C	PKC1	1151	2	1125	1120	1125
YBR010W	HHT1	136	1	111	108	112
YBR011C	IPP1	287	1	263	249	268
YBR015C	MNN2	597	2	276	270	276
YBR015C	MNN2	597	2	326	324	331
YBR025C	OLA1	394	3	87	83	90
YBR025C	OLA1	394	3	99	98	106
YBR025C	OLA1	394	3	297	294	298
YBR026C	ETR1	380	1	89	86	92
YBR030W	RKM3	552	1	486	486	491
YBR031W	RPL4A	362	1	131	128	134
YBR034C	HMT1	348	1	156	156	162
YBR035C	PDX3	228	1	193	192	197
YBR038W	CHS2	963	2	72	70	76
YBR038W	CHS2	963	2	88	83	88
YBR039W	ATP3	311	2	174	172	176
YBR039W	ATP3	311	2	206	202	210
YBR048W	RPS11B	156	2	112	108	116
YBR048W	RPS11B	156	2	142	140	145
YBR067C	TIP1	210	3	112	107	114
YBR067C	TIP1	210	3	139	137	144
YBR067C	TIP1	210	3	150	147	151
YBR069C	TAT1	619	2	127	123	128
YBR069C	TAT1	619	2	364	355	364
YBR071W		211	1	125	122	129
YBR073W	RDH54	958	1	639	637	642
YBR078W	ECM33	429	3	133	130	134
YBR078W	ECM33	429	3	209	207	211
YBR078W	ECM33	429	3	409	409	415
YBR079C	RPG1	964	3	454	451	459
YBR079C	RPG1	964	3	853	851	856
YBR079C	RPG1	964	3	937	928	942
YBR080C	SEC18	758	1	656	656	660
YBR082C	UBC4	148	1	69	60	70
YBR084C-A	RPL19A	189	1	91	88	93
YBR084W	MIS1	975	1	136	132	140
YBR087W	RFC5	354	1	184	183	188
YBR088C	POL30	258	2	139	133	140
YBR088C	POL30	258	2	233	229	235
YBR092C	PHO3	467	1	169	169	175
YBR094W	PBY1	753	1	592	588	592
YBR106W	PHO88	188	1	142	140	144
YBR111C	YSA1	231	1	130	126	132
YBR112C	CYC8	966	2	144	144	149
YBR112C	CYC8	966	2	666	664	671
YBR115C	LYS2	1392	2	328	325	332
YBR115C	LYS2	1392	2	526	522	527
YBR121C	GRS1	667	2	139	136	142
YBR121C	GRS1	667	2	250	248	255
YBR126C	TPS1	495	2	365	361	367
YBR126C	TPS1	495	2	493	488	495
YBR127C	VMA2	517	4	264	258	267
YBR127C	VMA2	517	4	374	372	376
YBR127C	VMA2	517	4	412	411	415
YBR127C	VMA2	517	4	512	509	514
YBR130C	SHE3	425	1	396	396	401
YBR137W		179	1	144	141	146
YBR139W		508	2	132	128	138
YBR139W		508	2	146	146	151
YBR143C	SUP45	437	1	72	69	75
YBR149W	ARA1	344	2	145	145	149
YBR149W	ARA1	344	2	244	243	247
YBR158W	AMN1	549	1	326	323	328
YBR162C	TOS1	455	3	169	165	173
YBR162C	TOS1	455	3	207	196	211
YBR162C	TOS1	455	3	270	270	274
YBR169C	SSE2	693	2	288	282	289
YBR169C	SSE2	693	2	517	517	522
YBR172C	SMY2	740	1	635	633	637
YBR173C	UMP1	148	1	97	95	99
YBR189W	RPS9B	195	1	55	54	58
YBR191W	RPL21A	160	2	137	136	141
YBR191W	RPL21A	160	2	150	148	157
YBR196C	PGI1	554	6	174	168	174
YBR196C	PGI1	554	6	188	185	190
YBR196C	PGI1	554	6	221	220	227
YBR196C	PGI1	554	6	317	314	319
YBR196C	PGI1	554	6	396	393	400
YBR196C	PGI1	554	6	537	535	540
YBR202W	MCM7	845	1	828	822	829
YBR205W	KTR3	404	1	334	330	334
YBR212W	NGR1	672	1	641	639	643
YBR214W	SDS24	527	2	460	455	460
YBR214W	SDS24	527	2	466	462	467
YBR218C	PYC2	1180	7	273	266	273
YBR218C	PYC2	1180	7	337	336	342
YBR218C	PYC2	1180	7	365	364	368
YBR218C	PYC2	1180	7	411	405	415
YBR218C	PYC2	1180	7	564	558	565
YBR218C	PYC2	1180	7	595	595	599
YBR218C	PYC2	1180	7	1176	1172	1178
YBR221C	PDB1	366	2	227	225	229
YBR221C	PDB1	366	2	352	348	354
YBR222C	PCS60	543	1	94	90	94
YBR234C	ARC40	384	1	84	80	84
YBR238C		731	1	138	134	139
YBR248C	HIS7	552	1	114	111	116
YBR249C	ARO4	370	1	356	356	360
YBR251W	MRPS5	307	1	77	75	80
YBR261C	TAE1	232	1	128	127	131
YBR263W	SHM1	490	2	155	153	157
YBR263W	SHM1	490	2	263	263	269
YBR265W	TSC10	320	1	237	232	237
YBR282W	MRPL27	146	1	116	111	116
YBR283C	SSH1	490	1	348	345	350
YBR286W	APE3	537	2	168	167	171
YBR286W	APE3	537	2	500	497	502
YCL001W	RER1	188	1	85	83	87
YCL005W-A	VMA9	73	1	61	59	63
YCL009C	ILV6	309	5	143	140	148
YCL009C	ILV6	309	5	190	187	192
YCL009C	ILV6	309	5	208	204	211
YCL009C	ILV6	309	5	255	252	258
YCL009C	ILV6	309	5	306	304	309
YCL011C	GBP2	427	1	75	72	76
YCL017C	NFS1	497	1	158	157	162
YCL024W	KCC4	1037	1	86	86	90
YCL028W	RNQ1	405	1	200	196	202
YCL030C	HIS4	799	3	473	470	478
YCL030C	HIS4	799	3	484	482	486
YCL030C	HIS4	799	3	528	526	530
YCL033C	MXR2	168	1	106	104	108
YCL037C	SRO9	434	3	86	85	90
YCL037C	SRO9	434	3	334	330	334
YCL037C	SRO9	434	3	399	395	401
YCL040W	GLK1	500	2	361	361	367
YCL040W	GLK1	500	2	399	396	402
YCL043C	PDI1	522	3	86	84	89
YCL043C	PDI1	522	3	130	121	132
YCL043C	PDI1	522	3	174	173	177
YCL044C	MGR1	417	1	81	81	90
YCL050C	APA1	321	2	101	96	101
YCL050C	APA1	321	2	118	117	121
YCL054W	SPB1	841	1	189	185	191
YCL064C	CHA1	360	1	141	138	146
YCR002C	CDC10	322	1	160	160	164
YCR004C	YCP4	247	1	208	205	212
YCR012W	PGK1	416	5	110	109	116
YCR012W	PGK1	416	5	168	164	171
YCR012W	PGK1	416	5	187	182	188
YCR012W	PGK1	416	5	348	345	353
YCR012W	PGK1	416	5	363	359	365
YCR028C-A	RIM1	135	1	124	124	129
YCR031C	RPS14A	137	1	123	121	125
YCR033W	SNT1	1226	1	1181	1178	1182
YCR034W	ELO2	347	1	72	71	76
YCR043C		127	1	99	96	101
YCR051W		222	1	83	83	87
YCR052W	RSC6	483	3	330	328	332
YCR052W	RSC6	483	3	350	345	351
YCR052W	RSC6	483	3	380	375	384
YCR053W	THR4	514	2	95	93	103
YCR053W	THR4	514	2	325	325	329
YCR057C	PWP2	923	2	444	444	453
YCR057C	PWP2	923	2	728	725	729
YCR061W		631	1	70	69	76
YCR065W	HCM1	564	2	418	415	419
YCR065W	HCM1	564	2	503	500	506
YCR073W-A	SOL2	315	1	236	233	239
YCR077C	PAT1	796	1	415	407	422
YCR084C	TUP1	713	5	204	200	206
YCR084C	TUP1	713	5	258	251	259
YCR084C	TUP1	713	5	312	309	313
YCR084C	TUP1	713	5	401	399	404
YCR084C	TUP1	713	5	437	436	444
YCR086W	CSM1	190	1	166	161	168
YCR088W	ABP1	592	5	160	158	163
YCR088W	ABP1	592	5	168	166	172
YCR088W	ABP1	592	5	186	183	191
YCR088W	ABP1	592	5	365	360	368
YCR088W	ABP1	592	5	517	516	521
YCR093W	CDC39	2108	1	1747	1743	1748
YDL014W	NOP1	327	1	246	244	250
YDL019C	OSH2	1283	1	68	66	70
YDL022W	GPD1	391	2	98	96	103
YDL022W	GPD1	391	2	251	249	253
YDL029W	ARP2	391	1	312	310	316
YDL040C	NAT1	854	2	408	406	415
YDL040C	NAT1	854	2	840	840	844
YDL042C	SIR2	562	1	492	490	495
YDL052C	SLC1	303	1	257	250	263
YDL053C	PBP4	185	1	86	83	89
YDL055C	PSA1	361	3	137	133	139
YDL055C	PSA1	361	3	262	258	265
YDL055C	PSA1	361	3	300	297	301
YDL058W	USO1	1790	1	717	717	722
YDL064W	UBC9	157	1	127	124	130
YDL066W	IDP1	428	3	68	65	71
YDL066W	IDP1	428	3	179	175	180
YDL066W	IDP1	428	3	192	187	193
YDL070W	BDF2	638	1	239	238	249
YDL075W	RPL31A	113	1	92	86	98
YDL078C	MDH3	343	2	103	101	107
YDL078C	MDH3	343	2	228	226	231
YDL082W	RPL13A	199	2	59	57	64
YDL082W	RPL13A	199	2	145	140	148
YDL084W	SUB2	446	2	124	121	126
YDL084W	SUB2	446	2	249	247	253
YDL086W		273	1	153	149	158
YDL088C	ASM4	528	1	427	424	432
YDL095W	PMT1	817	2	75	70	87
YDL095W	PMT1	817	2	94	93	100
YDL097C	RPN6	434	1	112	108	114
YDL100C	GET3	354	1	230	228	234
YDL103C	QRI1	477	1	196	195	202
YDL112W	TRM3	1436	1	155	155	160
