domainID	geneID	domainNb	pdb_id	score	method
1	530880	1	1hu3A_	45	pdbblast
2	530880	2	na	0	artificial
3	530880	3	1h6kA	7.46	orfeus
4	530880	4	na	0	artificial
5	534574	1	1b3uA_	9.09	orfeus
6	534574	2	na	0	artificial
7	530972	1	1qf6A_	143.9897	pdbblast
8	530972	2	1h4qA_	1170	pdbblast
9	529910	1	na	1.013947	msa
10	529910	2	1mukA_	7.99	orfeus
11	529910	3	1fuuA_	165.9897	pdbblast
12	529910	4	1m2vB	14.52	orfeus
13	529910	5	1bziA	7.3	orfeus
14	529910	6	1itwA_	7.93	orfeus
15	531301	1	1m2vB	13.03	orfeus
16	531301	2	1deqA_	2.09691	pdbblast
17	531301	3	PF03856	39.79588	pfam
18	529982	1	PF01232	87.443697	pfam
19	529982	2	1n1bA	7.92	orfeus
20	528786	1	PF01092	80.853872	pfam
21	528786	2	na	10.073995	msa
22	534395	1	na	11.223997	msa
23	534395	2	1fkmA_	36.221849	pdbblast
24	534395	3	1i84S_	22.69897	pdbblast
25	534395	4	na	0	artificial
26	530898	1	na	2.014888	msa
27	530898	2	na	1.011892	msa
28	530898	3	na	0	artificial
29	530898	4	1fuuA_	160.228787	pdbblast
30	530898	5	na	101.594997	msa
31	530898	6	na	0	artificial
32	534526	1	na	0	artificial
33	534526	2	PF00787	20.60206	pfam
34	534526	3	na	1.004919	msa
35	534526	4	na	0	artificial
36	534542	1	PF01066	31.920819	pfam
37	534600	1	1sur__	220.035458	pdbblast
38	534603	1	na	0	artificial
39	533342	1	na	0	artificial
40	533342	2	na	0	artificial
41	533342	3	na	0	artificial
42	533342	4	na	0	artificial
43	532458	1	1be3C_	2.016	3djury
44	532458	2	na	0	artificial
45	532458	3	na	0	artificial
46	532458	4	na	1.099992	msa
47	532458	5	na	0	artificial
48	531250	1	1klqA_	44	pdbblast
49	531250	2	na	0	artificial
50	531250	3	na	0	artificial
51	533361	1	na	1.623995	msa
52	533361	2	1jnk__	54.69897	pdbblast
53	533647	1	na	17.298994	msa
54	533647	2	1n6cA_	1.03	3djury
55	534124	1	na	0	artificial
56	534124	2	1ds9A_	9	pdbblast
57	534124	3	1m9sA_	16.522879	pdbblast
58	534124	4	na	0	artificial
59	534124	5	1o6sA_	27	pdbblast
60	534848	1	na	0	artificial
61	534848	2	na	0	artificial
62	534848	3	na	0	artificial
63	534848	4	na	1.004976	msa
64	531340	1	1uypA_	85.154902	pdbblast
65	746578	1	1nsj__	57.69897	pdbblast
66	529275	1	PF02874.7	21.886057	pfam
67	529275	2	na	2.05899	msa
68	529275	3	na	0	artificial
69	529275	4	1jvaA_	80	pdbblast
70	529275	5	1bmfA_	113	pdbblast
71	531489	1	1pvvA_	115	pdbblast
72	534928	1	1tf6A_	9.69897	pdbblast
73	534928	2	na	9.143995	msa
74	534928	3	na	0	artificial
75	534940	1	1ni4A_	69.30103	pdbblast
76	535340	1	1dvkA_	63.39794	pdbblast
77	534321	1	1o6cB_	14.69897	pdbblast
78	534321	2	na	0	artificial
79	530976	1	1i84S_	1000	pdbblast
80	530976	2	na	3.433994	msa
81	530976	3	1cii__	8	pdbblast
82	530976	4	1c1gA_	8	pdbblast
83	529484	1	1aarA_	32	pdbblast
84	534852	1	na	0	artificial
85	534852	2	1eqzG_	51.522879	pdbblast
86	531245	1	2r1rA_	1000	pdbblast
87	531245	2	na	0	artificial
88	534998	1	1f8aB_	34.522879	pdbblast
89	534622	1	na	10.193996	msa
90	534622	2	na	1.565997	msa
91	534622	3	1fchA_	20	pdbblast
92	534622	4	1na0A_	18	pdbblast
93	534622	5	na	0	artificial
94	534622	6	1d8dA_	4.69897	pdbblast
95	534622	7	1elrA_	7.39794	pdbblast
96	534622	8	na	9.537997	msa
97	535086	1	PF02109.5	89.173925	pfam
98	535063	1	na	0	artificial
99	535063	2	na	1.035968	msa
100	535063	3	na	2.035971	msa
101	535063	4	na	0	artificial
102	533819	1	1ju6A_	104	pdbblast
103	535160	1	1vin__	49.154902	pdbblast
104	535016	1	2cstA_	76	pdbblast
105	535450	1	1uzxA_	35.69897	pdbblast
106	535450	2	na	5.119985	msa
107	746556	1	1pg3A_	118	pdbblast
108	535573	1	na	1.290988	msa
109	535573	2	1lliA_	6.30103	pdbblast
110	528894	1	na	1.118986	msa
111	528894	2	PF02225.8	16.040959	pfam
112	528894	3	1cp7A_	31.30103	pdbblast
113	532509	1	1o0wA_	39	pdbblast
114	534222	1	na	0	artificial
115	534222	2	na	0	artificial
116	534222	3	na	3.250996	msa
117	534222	4	na	0	artificial
118	532513	1	na	0	artificial
119	532513	2	1rb7A_	20	pdbblast
120	530581	1	1gm5A_	37	pdbblast
121	530581	2	1gl9B_	6.522879	pdbblast
122	530581	3	na	3.065994	msa
123	530581	4	na	0	artificial
124	530362	1	na	13.061996	msa
125	531952	1	na	1.303987	msa
126	531952	2	1gw6A_	84.69897	pdbblast
127	531952	3	na	1.228966	msa
128	531952	4	na	3.22199	msa
129	531790	1	PF03357.7	35.040959	pfam
130	532287	1	1ifqA_	19.39794	pdbblast
131	532287	2	1sfcA_	18.522879	pdbblast
132	531421	1	1ad5A_	6.69897	pdbblast
133	531421	2	na	0	artificial
134	531421	3	na	0	artificial
135	531421	4	na	0	artificial
136	531421	5	na	0	artificial
137	531421	6	na	2.305994	msa
138	531421	7	na	2.264996	msa
139	534996	1	na	0	artificial
140	534996	2	1vjpA_	76.30103	pdbblast
141	534811	1	na	0	artificial
142	534814	1	na	1.382992	msa
143	534814	2	na	4.397996	msa
144	534814	3	PF02815.7	13.39794	pfam
145	534814	4	PF02815.7	15.004365	pfam
146	534814	5	PF02815.7	17.920819	pfam
147	534814	6	na	2.23798	msa
148	534813	1	1dn1B_	33.09691	pdbblast
149	534838	1	na	2.015981	msa
150	534837	1	1v93A_	94.39794	pdbblast
151	534837	2	na	0	artificial
152	534837	3	na	0	artificial
153	534837	4	na	0	artificial
154	534857	1	1kn0A_	75.69897	pdbblast
155	534857	2	na	8.192997	msa
156	534867	1	na	4.250992	msa
157	534867	2	1orqC_	6.69897	pdbblast
158	534867	3	na	1.25299	msa
159	746564	1	na	1.107993	msa
160	746564	2	1qvrA_	39.09691	pdbblast
161	746564	3	1um8A_	19.221849	pdbblast
162	746564	4	na	0	artificial
163	535110	1	1vhsA_	15	pdbblast
164	746567	1	1lpfA_	58.221849	pdbblast
165	534879	1	1dxmA_	34.39794	pdbblast
166	534883	1	1n11A_	60	pdbblast
167	534883	2	na	0	artificial
168	534883	3	na	0	artificial
169	534883	4	na	0	artificial
