class	cluster	position	mc
DT_cl	1	371	0.04610001665920161
DT_cl	1	66	0.07654165183720323
DT_cl	1	459	0.04237940757307725
DT_cl	1	26	0.11129962528624042
DT_cl	1	616	0.06641873369511449
DT_cl	1	80	0.08443286648472764
DT_cl	1	36	0.04577515268640183
DT_n	0	129	0.035599716522676225
DT_cl	1	220	0.10956679634855827
DT_n	0	96	0.0470885976744582
DT_cl	1	36	0.0468144695138808
DT_cl	1	288	0.07328095558953673
DT_cl	1	269	0.041735519673727184
DT_cl	1	108	0.04929306861725469
DT_cl	1	451	0.05470737186669431
DT_cl	1	135	0.14234053064681096
DT_cl	1	37	0.3874819278659134
DT_cl	1	395	0.15130030070657896
DT_cl	1	228	0.30744417278325153
DT_cl	1	893	0.03836312224428378
DT_cl	1	176	0.08056829904091588
DT_cl	1	971	0.11284007771598548
DT_cl	1	158	0.04260725891971354
DT_cl	1	1310	0.205577399323534
DT_cl	1	227	0.08800886698605791
DT_cl	1	125	0.06251555047412784
DT_cl	1	91	0.166688893164172
DT_cl	1	43	0.08970803115220101
DT_cl	1	480	0.16339615237403027
DT_cl	1	319	0.05309062669481717
DT_cl	1	82	0.05833222627198603
DT_cl	1	216	0.04168129036014293
DT_cl	1	499	0.06246377934973257
DT_cl	1	66	0.14458856048772292
DT_cl	1	105	0.16627367990557296
DT_cl	1	712	0.04407658269638829
DT_cl	1	42	0.04876523336261457
DT_cl	1	249	0.04522743156253573
DT_cl	1	26	0.13304845138638263
DT_cl	1	125	0.12127139028670852
DT_cl	1	118	0.04473514104879212
DT_cl	1	111	0.056730853087914125
DT_cl	1	45	0.2492851032043347
DT_cl	1	218	0.042193839684098434
DT_cl	1	44	0.039717215142367826
DT_cl	1	1238	0.0490309409129125
DT_n	0	140	0.04031016085586694
DT_cl	1	406	0.11679562604780107
DT_cl	1	304	0.16977490694206074
DT_cl	1	708	0.12419741595946532
DT_cl	1	162	0.0710772603897687
DT_cl	1	43	0.047173619257077214
DT_n	0	799	0.03965794210419155
DT_n	0	125	0.03621352006674748
