class	position	mc
pos1	371	0.04610001665920161
pos1	66	0.07654165183720323
pos1	585	0.03157044525493958
pos1	459	0.04237940757307725
pos1	26	0.11129962528624042
pos1	616	0.06641873369511449
pos1	80	0.08443286648472764
pos1	36	0.04577515268640183
pos1	129	0.035599716522676225
pos1	220	0.10956679634855827
pos1	96	0.0470885976744582
pos1	36	0.0468144695138808
pos1	288	0.07328095558953673
pos1	269	0.041735519673727184
pos1	108	0.04929306861725469
pos1	451	0.05470737186669431
pos1	135	0.14234053064681096
pos1	37	0.3874819278659134
pos1	395	0.15130030070657896
pos1	228	0.30744417278325153
pos1	893	0.03836312224428378
pos1	176	0.08056829904091588
pos1	971	0.11284007771598548
pos1	158	0.04260725891971354
pos1	1310	0.205577399323534
pos1	227	0.08800886698605791
pos1	244	0.03292717565331947
pos1	125	0.06251555047412784
pos1	91	0.166688893164172
pos1	43	0.08970803115220101
pos1	480	0.16339615237403027
pos1	319	0.05309062669481717
pos1	82	0.05833222627198603
pos1	216	0.04168129036014293
pos1	499	0.06246377934973257
pos1	66	0.14458856048772292
pos1	105	0.16627367990557296
pos1	712	0.04407658269638829
pos1	42	0.04876523336261457
pos1	249	0.04522743156253573
pos1	26	0.13304845138638263
pos1	125	0.12127139028670852
pos1	53	0.03011015915667388
pos1	118	0.04473514104879212
pos1	111	0.056730853087914125
pos1	89	0.02265721099498304
pos1	45	0.2492851032043347
pos1	218	0.042193839684098434
pos1	44	0.039717215142367826
pos1	106	0.030063027987237863
pos1	1238	0.0490309409129125
pos1	140	0.04031016085586694
pos1	406	0.11679562604780107
pos1	304	0.16977490694206074
pos1	708	0.12419741595946532
pos1	91	0.032901163236440996
pos1	162	0.0710772603897687
pos1	806	0.03290808835377992
pos1	43	0.047173619257077214
pos1	799	0.03965794210419155
pos1	125	0.03621352006674748
pos1	23	0.04257915787375748
pos1	742	0.044493467167731615
pos1	359	0.04462342479014692
pos1	637	0.04689015685636604
pos1	1319	0.034055344260447235
pos1	116	0.04364477998890525
pos1	526	0.029988469323512585
pos1	71	0.03531941131504569
pos1	34	0.15277711604426483
pos1	237	0.11657434569518643
pos1	71	0.11546329995375477
pos1	51	0.05568739542270207
pos1	47	0.06887195527467456
pos1	1190	0.05683925719702528
pos1	191	0.048975655621582494
pos1	87	0.08694625497954515
pos1	125	0.03599417130114488
pos1	108	0.044574683610395814
pos1	115	0.03933117026125097
pos1	138	0.05713125409044698
pos1	299	0.05473733787071338
pos1	286	0.058749726463542366
pos1	196	0.0521096595154992
pos1	162	0.037069166032479624
pos1	49	0.08858656031315067
pos1	139	0.03676757114378204
pos1	76	0.06625512274188439
pos1	45	0.12921547641417555
pos1	369	0.13661206762220793
pos1	48	0.04181260975492268
pos1	74	0.07679613203604009
pos1	22	0.09626736354768643
pos1	215	0.09473741857682176
pos1	58	0.09826854687838671
pos1	313	0.06340921870805251
pos1	731	0.03644902109451568
pos1	158	0.06384731189229098
pos1	112	0.054932221309350014
pos1	202	0.032765224192399287
pos1	112	0.1533255121274292
pos1	372	0.1887861426611469
pos1	255	0.01913223012199655
pos1	117	0.03879651305598691
pos1	95	0.0603617095581006
pos1	34	0.07359046706520618
pos1	526	0.03570050864380336
pos1	278	0.06188819632791789
pos1	550	0.04924804503254095
pos1	29	0.047356421971823985
pos1	35	0.09963558142790845
pos1	192	0.07415208909830523
pos1	65	0.0862748928293912
pos1	61	0.09409703736968451
pos1	53	0.040260167534842704
pos1	26	0.055355642965268036
pos1	60	0.035522119134423664
pos1	28	0.06048458316330798
pos1	44	0.05949593472382796
pos1	73	0.05541815867841677
pos1	119	0.04589297312397663
pos1	361	0.033218329932131356
pos1	301	0.0495372710504249
pos1	56	0.05026134194090847
pos1	743	0.13849541135516924
pos1	97	0.09206109752959606
pos1	256	0.0341564320706979
pos1	653	0.23705825392615876
pos1	145	0.04878761246109953
pos1	78	0.03946312493932088
pos1	887	0.07455014797960577
pos1	283	0.04719252322192884
pos1	489	0.05843583562225241
pos1	58	0.05308964376527375
pos1	491	0.02997224303779128
pos1	353	0.08091249018905929
pos1	75	0.0865948651560045
pos1	538	0.06315207223553536
pos1	287	0.05535995105326369
pos1	75	0.0658197077495017
pos1	463	0.0453987852005387
pos1	211	0.03610239994265146
pos1	146	0.15217109662662762
pos1	114	0.051945903158386784
pos1	321	0.07852551598397632
pos1	704	0.057756887234646316
pos1	140	0.1573804931108267
pos1	65	0.07513876746235093
pos1	464	0.04641797556787861
pos1	278	0.04469067606794654
pos1	576	0.09794619193951076
pos1	331	0.03999008915622535
pos1	737	0.03922103750801598
pos1	629	0.08185213652680276
pos1	42	0.14657965548673876
pos1	853	0.038050713972105986
pos1	237	0.0987819924076177
pos1	818	0.04131903907969317
pos1	137	0.14006592611373406
pos1	280	0.050501024668149486
pos1	34	0.035504189464036946
pos1	623	0.04460101122189622
pos1	315	0.44788125890146974
pos1	121	0.09612656288804211
pos1	393	0.03438712246747859
pos1	518	0.0346269207001351
pos1	43	0.04916617193552172
pos1	85	0.05632176328384853
pos1	1441	0.07246245771596921
pos1	531	0.08889370115937216
pos1	95	0.09483268011466577
pos1	280	0.08521368949656223
pos1	232	0.1128465882931851
pos1	453	0.12249016793842549
pos1	298	0.042877626968325665
pos1	459	0.05815287921288544
pos1	26	0.04405693662280084
pos1	66	0.10758184688996768
pos1	168	0.050250164693698036
pos1	169	0.04257059035911121
pos1	121	0.04630232204910029
pos1	91	0.10586398264194023
pos1	525	0.183782967615543
pos1	57	0.034145408299907136
pos1	54	0.08504082984266909
pos1	859	0.04014854746111792
pos1	227	0.0426888586963321
pos1	188	0.20331357209601075
pos1	60	0.03984522067953921
pos1	373	0.05814706477635286
pos1	349	0.07510101001936074
pos1	39	0.07649862000105383
pos1	43	0.07798153257584167
pos1	59	0.04755731768332062
pos1	129	0.03287413387511808
pos1	139	0.04682538834737906
pos1	87	0.13632646872350965
pos1	160	0.05773384634796621
pos1	277	0.050837354147452656
