geneID,length,number_of_sites,order,site_start,site_end
YBR177C,40,3,1,229,269
YBR177C,30,3,2,906,936
YBR177C,45,3,3,1155,1200
YLR268W,30,1,1,443,473
YIR004W,32,1,1,1132,1164
YJL122W,119,3,1,329,448
YJL122W,15,3,2,468,483
YJL122W,17,3,3,486,503
YGR148C,36,1,1,261,297
YFR043C,17,3,1,296,313
YFR043C,19,3,2,318,337
YFR043C,55,3,3,458,513
YJL204C,41,2,1,427,468
YJL204C,23,2,2,794,817
YLR244C,34,10,1,243,277
YLR244C,76,10,2,392,468
YLR244C,41,10,3,461,502
YLR244C,52,10,4,596,648
YLR244C,112,10,5,704,816
YLR244C,51,10,6,887,938
YLR244C,75,10,7,979,1054
YLR244C,31,10,8,1056,1087
YLR244C,16,10,9,1110,1126
YLR244C,22,10,10,1142,1164
YNL003C,33,1,1,351,384
YBR160W,75,4,1,218,293
YBR160W,36,4,2,294,330
YBR160W,41,4,3,340,381
YBR160W,23,4,4,563,586
YJL082W,16,3,1,525,541
YJL082W,17,3,2,1502,1519
YJL082W,27,3,3,2117,2144
YHR007C,18,1,1,1336,1354
YLR197W,46,2,1,193,239
YLR197W,39,2,2,710,749
YKL190W,36,1,1,410,446
YDR312W,28,1,1,398,426
YLR348C,43,4,1,236,279
YLR348C,73,4,2,339,412
YLR348C,19,4,3,683,702
YLR348C,30,4,4,703,733
YBR248C,38,4,1,923,961
YBR248C,43,4,2,995,1038
YBR248C,30,4,3,1128,1158
YBR248C,33,4,4,1334,1367
YNL152W,33,2,1,229,262
YNL152W,43,2,2,441,484
YFL045C,88,2,1,262,350
YFL045C,59,2,2,597,656
YDR141C,18,4,1,320,338
YDR141C,26,4,2,459,485
YDR141C,20,4,3,818,838
YDR141C,20,4,4,3135,3155
YJL131C,29,1,1,868,897
YIL124W,19,6,1,259,278
YIL124W,114,6,2,287,401
YIL124W,19,6,3,512,531
YIL124W,24,6,4,532,556
YIL124W,52,6,5,724,776
YIL124W,31,6,6,863,894
YDR083W,31,2,1,697,728
YDR083W,15,2,2,1039,1054
YMR009W,29,1,1,347,376
YOR123C,38,3,1,646,684
YOR123C,23,3,2,968,991
YOR123C,29,3,3,1061,1090
YNL072W,29,4,1,441,470
YNL072W,32,4,2,489,521
YNL072W,18,4,3,569,587
YNL072W,26,4,4,603,629
YLR362W,28,3,1,503,531
YLR362W,23,3,2,639,662
YLR362W,17,3,3,1950,1967
YLR199C,19,5,1,308,327
YLR199C,16,5,2,392,408
YLR199C,28,5,3,476,504
YLR199C,16,5,4,675,691
YLR199C,55,5,5,755,810
YCL017C,60,15,1,197,257
YCL017C,25,15,2,272,297
YCL017C,15,15,3,303,318
YCL017C,53,15,4,342,395
YCL017C,149,15,5,410,559
YCL017C,38,15,6,563,601
YCL017C,29,15,7,624,653
YCL017C,23,15,8,675,698
YCL017C,25,15,9,704,729
YCL017C,20,15,10,776,796
YCL017C,24,15,11,831,855
YCL017C,68,15,12,867,935
YCL017C,48,15,13,960,1008
YCL017C,38,15,14,1207,1245
YCL017C,47,15,15,1266,1313
YIL108W,16,12,1,271,287
YIL108W,19,12,2,439,458
YIL108W,29,12,3,662,691
YIL108W,22,12,4,703,725
YIL108W,29,12,5,959,988
YIL108W,37,12,6,1123,1160
YIL108W,75,12,7,1504,1579
YIL108W,42,12,8,1583,1625
YIL108W,39,12,9,1663,1702
YIL108W,61,12,10,1777,1838
YIL108W,19,12,11,1864,1883
YIL108W,44,12,12,1933,1977
YBR273C,28,4,1,294,322
YBR273C,69,4,2,1059,1128
YBR273C,18,4,3,1129,1147
YBR273C,21,4,4,1158,1179
YHR025W,54,6,1,326,380
YHR025W,29,6,2,394,423
YHR025W,23,6,3,776,799
YHR025W,34,6,4,839,873
YHR025W,20,6,5,877,897
YHR025W,16,6,6,1036,1052
YHR009C,21,3,1,391,412
YHR009C,43,3,2,1224,1267
YHR009C,36,3,3,1477,1513
YLR447C,28,4,1,186,214
YLR447C,38,4,2,331,369
YLR447C,24,4,3,511,535
YLR447C,37,4,4,599,636
YOL058W,17,11,1,159,176
YOL058W,31,11,2,170,201
YOL058W,69,11,3,546,615
YOL058W,64,11,4,641,705
YOL058W,23,11,5,801,824
YOL058W,39,11,6,877,916
YOL058W,18,11,7,1046,1064
YOL058W,32,11,8,1058,1090
YOL058W,20,11,9,1095,1115
YOL058W,48,11,10,1116,1164
YOL058W,75,11,11,1188,1263
YIL062C,43,1,1,295,338
YNR032C-A,20,1,1,183,203
YOL129W,56,1,1,236,292
YOL116W,47,2,1,953,1000
YOL116W,39,2,2,1100,1139
YDL226C,40,2,1,926,966
YDL226C,40,2,2,953,993
YGL071W,39,5,1,458,497
YGL071W,22,5,2,521,543
YGL071W,18,5,3,546,564
YGL071W,21,5,4,796,817
YGL071W,20,5,5,1485,1505
YBR202W,27,8,1,752,779
YBR202W,38,8,2,1109,1147
YBR202W,58,8,3,1168,1226
YBR202W,27,8,4,1227,1254
YBR202W,47,8,5,1947,1994
YBR202W,42,8,6,2116,2158
YBR202W,25,8,7,2300,2325
YBR202W,65,8,8,2415,2480
YNL239W,55,2,1,346,401
YNL239W,40,2,2,1094,1134
YPL143W,26,1,1,271,297
YML105C,16,1,1,608,624
YNL288W,33,2,1,536,569
YNL288W,28,2,2,648,676
YIL091C,63,11,1,184,247
YIL091C,17,11,2,693,710
YIL091C,29,11,3,709,738
YIL091C,41,11,4,742,783
YIL091C,39,11,5,894,933
YIL091C,16,11,6,1138,1154
YIL091C,44,11,7,1141,1185
YIL091C,36,11,8,1297,1333
YIL091C,32,11,9,1653,1685
YIL091C,38,11,10,2025,2063
YIL091C,95,11,11,2070,2165
YOR048C,31,11,1,390,421
YOR048C,39,11,2,685,724
YOR048C,32,11,3,1034,1066
YOR048C,48,11,4,1926,1974
YOR048C,26,11,5,2012,2038
YOR048C,23,11,6,2060,2083
YOR048C,29,11,7,2150,2179
YOR048C,24,11,8,2426,2450
YOR048C,22,11,9,2573,2595
YOR048C,20,11,10,2940,2960
YOR048C,29,11,11,2992,3021
YNL103W,26,1,1,315,341
YAL046C,33,1,1,260,293
YAL039C,37,4,1,567,604
YAL039C,25,4,2,605,630
YAL039C,15,4,3,671,686
YAL039C,50,4,4,703,753
YNR018W,20,3,1,291,311
YNR018W,31,3,2,566,597
YNR018W,18,3,3,598,616
YNL168C,35,1,1,295,330
YCR034W,15,3,1,163,178
YCR034W,43,3,2,250,293
YCR034W,48,3,3,329,377
YFR047C,26,3,1,259,285
YFR047C,21,3,2,686,707
YFR047C,15,3,3,729,744
YBR215W,28,1,1,1613,1641
YIL106W,50,2,1,575,625
YIL106W,20,2,2,626,646
YNL240C,23,6,1,190,213
YNL240C,39,6,2,211,250
YNL240C,23,6,3,406,429
YNL240C,31,6,4,430,461
YNL240C,19,6,5,559,578
YNL240C,18,6,6,1060,1078
YML127W,18,6,1,661,679
YML127W,20,6,2,720,740
YML127W,33,6,3,926,959
YML127W,16,6,4,1148,1164
YML127W,24,6,5,1424,1448
YML127W,17,6,6,1650,1667
YCL030C,18,20,1,479,497
YCL030C,22,20,2,717,739
YCL030C,22,20,3,956,978
YCL030C,46,20,4,1110,1156
YCL030C,31,20,5,1149,1180
YCL030C,24,20,6,1260,1284
YCL030C,43,20,7,1291,1334
YCL030C,45,20,8,1364,1409
YCL030C,24,20,9,1411,1435
YCL030C,32,20,10,1426,1458
YCL030C,22,20,11,1475,1497
YCL030C,108,20,12,1539,1647
YCL030C,58,20,13,1656,1714
YCL030C,24,20,14,1717,1741
YCL030C,213,20,15,1754,1967
YCL030C,49,20,16,1968,2017
YCL030C,42,20,17,2018,2060
YCL030C,123,20,18,2062,2185
YCL030C,48,20,19,2176,2224
YCL030C,155,20,20,2231,2386
YGR084C,35,3,1,293,328
YGR084C,26,3,2,360,386
YGR084C,36,3,3,373,409
YDR286C,27,1,1,318,345
YDR399W,46,1,1,471,517
YHR141C,23,2,1,212,235
YHR141C,52,2,2,236,288
YLR355C,44,4,1,194,238
YLR355C,65,4,2,245,310
YLR355C,30,4,3,607,637
YLR355C,44,4,4,1134,1178
YGL157W,46,2,1,618,664
YGL157W,22,2,2,878,900
YPL128C,48,1,1,357,405
YOL090W,37,5,1,338,375
YOL090W,28,5,2,886,914
YOL090W,37,5,3,1135,1172
YOL090W,57,5,4,1170,1227
YOL090W,52,5,5,2023,2075
YLR300W,44,1,1,157,201
YMR195W,40,1,1,278,318
YGL100W,58,8,1,366,424
YGL100W,19,8,2,469,488
YGL100W,37,8,3,492,529
YGL100W,15,8,4,570,585
YGL100W,36,8,5,744,780
YGL100W,47,8,6,801,848
YGL100W,17,8,7,849,866
YGL100W,21,8,8,953,974
YBR094W,26,8,1,209,235
YBR094W,17,8,2,729,746
YBR094W,19,8,3,1183,1202
YBR094W,36,8,4,1709,1745
YBR094W,35,8,5,1895,1930
YBR094W,19,8,6,1977,1996
YBR094W,20,8,7,2077,2097
YBR094W,41,8,8,2178,2219
YHR112C,86,7,1,185,271
YHR112C,39,7,2,459,498
YHR112C,35,7,3,696,731
YHR112C,39,7,4,875,914
YHR112C,39,7,5,916,955
YHR112C,88,7,6,1002,1090
YHR112C,22,7,7,1091,1113
YDR035W,19,3,1,328,347
YDR035W,85,3,2,352,437
YDR035W,24,3,3,795,819
YHR106W,25,3,1,746,771
YHR106W,45,3,2,765,810
YHR106W,47,3,3,869,916
YLR011W,26,1,1,159,185
YIL044C,20,2,1,366,386
YIL044C,31,2,2,861,892
YPR183W,31,1,1,693,724
YOR206W,30,4,1,1041,1071
YOR206W,29,4,2,1494,1523
YOR206W,17,4,3,1778,1795
YOR206W,38,4,4,1909,1947
YBL042C,88,1,1,465,553
YCR046C,35,3,1,147,182
YCR046C,25,3,2,455,480
YCR046C,15,3,3,495,510
YLR059C,64,2,1,272,336
YLR059C,52,2,2,388,440
YDR507C,49,15,1,227,276
YDR507C,22,15,2,288,310
YDR507C,31,15,3,302,333
YDR507C,30,15,4,412,442
YDR507C,21,15,5,750,771
YDR507C,34,15,6,958,992
YDR507C,18,15,7,1026,1044
YDR507C,40,15,8,1627,1667
YDR507C,16,15,9,1685,1701
YDR507C,34,15,10,1703,1737
YDR507C,18,15,11,1739,1757
YDR507C,29,15,12,2226,2255
YDR507C,19,15,13,2619,2638
YDR507C,26,15,14,2812,2838
YDR507C,26,15,15,3320,3346
YEL007W,23,5,1,492,515
YEL007W,18,5,2,520,538
YEL007W,47,5,3,641,688
YEL007W,27,5,4,689,716
YEL007W,92,5,5,717,809
YNL217W,34,1,1,184,218
YKL204W,20,13,1,482,502
YKL204W,36,13,2,892,928
YKL204W,251,13,3,934,1185
YKL204W,40,13,4,1186,1226
YKL204W,43,13,5,1231,1274
YKL204W,105,13,6,1275,1380
YKL204W,155,13,7,1388,1543
YKL204W,84,13,8,1548,1632
YKL204W,39,13,9,1634,1673
YKL204W,114,13,10,1662,1776
YKL204W,48,13,11,1778,1826
YKL204W,43,13,12,1829,1872
YKL204W,26,13,13,1873,1899
YDL042C,26,1,1,840,866
YMR226C,41,1,1,371,412
YOR058C,40,3,1,2391,2431
YOR058C,20,3,2,2455,2475
YOR058C,34,3,3,2560,2594
YPL206C,41,3,1,531,572
YPL206C,46,3,2,750,796
YPL206C,36,3,3,783,819
YOL136C,16,5,1,526,542
YOL136C,21,5,2,544,565
YOL136C,38,5,3,652,690
YOL136C,18,5,4,1058,1076
YOL136C,20,5,5,1136,1156
YDL060W,18,9,1,521,539
YDL060W,53,9,2,1303,1356
YDL060W,53,9,3,1534,1587
YDL060W,30,9,4,1907,1937
YDL060W,24,9,5,1988,2012
YDL060W,32,9,6,2019,2051
YDL060W,42,9,7,2087,2129
YDL060W,22,9,8,2155,2177
YDL060W,30,9,9,2277,2307
YLR002C,50,1,1,706,756
YGL171W,32,7,1,398,430
YGL171W,30,7,2,948,978
YGL171W,25,7,3,1031,1056
YGL171W,22,7,4,1062,1084
YGL171W,45,7,5,1272,1317
YGL171W,28,7,6,1540,1568
YGL171W,89,7,7,1570,1659
YNR052C,15,6,1,180,195
YNR052C,26,6,2,200,226
YNR052C,16,6,3,228,244
YNR052C,33,6,4,231,264
YNR052C,19,6,5,637,656
YNR052C,19,6,6,674,693
YGR019W,114,12,1,254,368
YGR019W,67,12,2,387,454
